Episode: 1,Final Balance: 84.93979196, Max Balance:84.93979196, Min Balance:84.93979196,Max drawdown:0.0, Total trades0, Wins: 0, Losses 0, Winrate: 0
Episode: 2,Final Balance: 86.67191838, Max Balance:111.94382837, Min Balance:84.93979196,Max drawdown:0.22575527707048357, Total trades1, Wins: 1, Losses 0, Winrate: 1.0
Episode: 3,Final Balance: 86.67191838, Max Balance:111.94382837, Min Balance:84.93979196,Max drawdown:0.22575527707048357, Total trades0, Wins: 0, Losses 0, Winrate: 0
Episode: 4,Final Balance: 86.67191838, Max Balance:111.94382837, Min Balance:84.93979196,Max drawdown:0.22575527707048357, Total trades0, Wins: 0, Losses 0, Winrate: 0
Episode: 5,Final Balance: 86.67191838, Max Balance:111.94382837, Min Balance:84.93979196,Max drawdown:0.22575527707048357, Total trades0, Wins: 0, Losses 0, Winrate: 0
Episode: 6,Final Balance: 85.08542178, Max Balance:111.94382837, Min Balance:84.93979196,Max drawdown:0.23992753313051626, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
Episode: 7,Final Balance: 83.41479566, Max Balance:111.94382837, Min Balance:83.41479566,Max drawdown:0.25485132253745174, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
Episode: 8,Final Balance: 83.41479566, Max Balance:111.94382837, Min Balance:83.41479566,Max drawdown:0.25485132253745174, Total trades0, Wins: 1, Losses 0, Winrate: 0
Episode: 9,Final Balance: 83.93174656, Max Balance:111.94382837, Min Balance:83.41479566,Max drawdown:0.25485132253745174, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
Episode: 10,Final Balance: 84.52982559, Max Balance:111.94382837, Min Balance:83.41479566,Max drawdown:0.25485132253745174, Total trades1, Wins: 1, Losses 0, Winrate: 1.0
Episode: 11,Final Balance: 82.73273598, Max Balance:111.94382837, Min Balance:82.73273598,Max drawdown:0.2609441968828389, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
Episode: 12,Final Balance: 79.46577445, Max Balance:111.94382837, Min Balance:79.46577445,Max drawdown:0.2901281329476476, Total trades2, Wins: 0, Losses 0, Winrate: 0.0
Episode: 13,Final Balance: 77.7544522, Max Balance:111.94382837, Min Balance:77.7544522,Max drawdown:0.30541546298556344, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
Episode: 14,Final Balance: 84.77824666, Max Balance:111.94382837, Min Balance:77.7544522,Max drawdown:0.30541546298556344, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
Episode: 15,Final Balance: 77.50837905, Max Balance:111.94382837, Min Balance:77.50837905,Max drawdown:0.3076136471425915, Total trades1, Wins: 1, Losses 0, Winrate: 1.0
Episode: 16,Final Balance: 77.50837905, Max Balance:111.94382837, Min Balance:77.50837905,Max drawdown:0.3076136471425915, Total trades0, Wins: 0, Losses 0, Winrate: 0
Episode: 17,Final Balance: 84.40019259, Max Balance:111.94382837, Min Balance:77.50837905,Max drawdown:0.3076136471425915, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
Episode: 18,Final Balance: 84.40019259, Max Balance:111.94382837, Min Balance:77.50837905,Max drawdown:0.3076136471425915, Total trades0, Wins: 0, Losses 0, Winrate: 0
Episode: 19,Final Balance: 83.27625323, Max Balance:111.94382837, Min Balance:77.50837905,Max drawdown:0.3076136471425915, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
Episode: 20,Final Balance: 82.05475752, Max Balance:111.94382837, Min Balance:77.50837905,Max drawdown:0.3076136471425915, Total trades1, Wins: 0, Losses 0, Winrate: 0.0
